type,id,geometry/type,lat,lng,geometry_name,properties/name,properties/snippet
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.1,Point,153.2699586,-27.94666982,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.2,Point,153.4112793,-27.96351883,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.3,Point,153.3515487,-28.0059321,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.4,Point,153.4948821,-28.15609022,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.5,Point,153.3137335,-27.89127762,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.6,Point,153.4493096,-28.08662581,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.7,Point,153.2898279,-27.81554016,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.8,Point,153.3856641,-27.89993126,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.9,Point,153.3168243,-27.98728305,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.10,Point,153.4152685,-28.09925318,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.11,Point,153.4200628,-28.09572959,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.12,Point,153.3887844,-28.13481685,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.13,Point,153.3539598,-27.8411911,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.14,Point,153.3913752,-28.0013629,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.15,Point,153.3402613,-27.98471169,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.16,Point,153.4013242,-27.90021436,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.17,Point,153.4040057,-27.91707041,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.18,Point,153.4746955,-28.13408127,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.19,Point,153.4720089,-28.1212839,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.20,Point,153.3127412,-27.89057931,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.21,Point,153.3863206,-27.94368678,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.22,Point,153.3528548,-28.07985433,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.23,Point,153.4188,-28.01312449,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.24,Point,153.4066433,-27.9505548,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.25,Point,153.4136248,-28.03613707,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.26,Point,153.3827067,-27.90493995,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.27,Point,153.4035238,-27.98844512,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.28,Point,153.3839846,-27.97457715,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.29,Point,153.4280277,-28.0067835,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.30,Point,153.3452698,-27.99430368,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.31,Point,153.3089047,-28.00429642,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.32,Point,153.3360109,-27.91853412,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.33,Point,153.3998787,-27.9491959,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.34,Point,153.3879867,-27.91348247,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.35,Point,153.3393757,-27.99874799,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.36,Point,153.3948245,-27.96566433,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.37,Point,153.3957215,-27.94359871,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.38,Point,153.4279854,-27.99308256,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.39,Point,153.4314656,-28.02681666,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.40,Point,153.3992701,-27.95245331,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.41,Point,153.4107336,-27.95830901,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.42,Point,153.4147199,-28.06728057,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.43,Point,153.3557072,-27.87166668,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.44,Point,153.5282168,-28.16768093,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.45,Point,153.3574189,-28.02578156,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.46,Point,153.4461119,-28.0782207,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.47,Point,153.4417895,-28.06866588,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.48,Point,153.3855705,-27.90008866,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.49,Point,153.4593892,-28.13385843,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.50,Point,153.4476402,-28.08217499,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.51,Point,153.2471707,-28.04183193,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.52,Point,153.3344626,-28.01506787,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.53,Point,153.5001655,-28.14926528,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.54,Point,153.4633515,-28.10414995,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.55,Point,153.3884643,-27.89153215,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.56,Point,153.409835,-27.98438814,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.57,Point,153.4076547,-27.93909614,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.58,Point,153.4723362,-28.13395648,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.59,Point,153.4535545,-28.09079186,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.60,Point,153.3998263,-27.94205732,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.61,Point,153.5307271,-28.16760038,geom,SHELTER_BUS,
Feature,ckan_be880d63_175a_4383_b0f2_ef88b831eba9.62,Point,153.3060044,-27.87021339,geom,SHELTER_BUS,
